company_name,high,low,last_price,prev_close,change,percent_gain
Hindalco,395.35,375.15,390.55,371.20,19.35,5.21
Bharti Airtel,809.00,761.45,799.90,764.65,35.25,4.61
IndusInd Bank,"1,192.30","1,128.80","1,185.20","1,142.25",42.95,3.76
Bajaj Finance,"7,362.00","7,026.80","7,335.75","7,104.75",231,3.25
Kotak Mahindra,"1,826.45","1,757.70","1,819.20","1,765.30",53.9,3.05
Titan Company,"2,637.40","2,522.60","2,606.95","2,531.50",75.45,2.98
HDFC Bank,"1,431.45","1,365.00","1,421.35","1,382.35",39,2.82
Bajaj Finserv,"1,699.00","1,621.00","1,678.35","1,635.90",42.45,2.59
Bajaj Finserv,"1,699.00","1,621.00","1,678.35","1,635.90",42.45,2.59
Tata Steel,100.40,95.70,99.30,96.85,2.45,2.53
Tata Steel,100.40,95.70,99.30,96.85,2.45,2.53
Maruti Suzuki,"8,872.00","8,558.20","8,828.15","8,624.85",203.3,2.36
UPL,674.85,654.40,672.05,656.80,15.25,2.32
Reliance,"2,402.00","2,311.00","2,377.75","2,325.30",52.45,2.26
HDFC,"2,317.85","2,202.70","2,287.75","2,237.50",50.25,2.25
JSW Steel,633.95,614.20,631.65,618.25,13.4,2.17
ICICI Bank,867.05,837.50,862.00,843.90,18.1,2.14
Power Grid Corp,218.70,207.00,212.20,208.00,4.2,2.02
Axis Bank,737.75,714.40,733.20,719.00,14.2,1.97
Sun Pharma,950.95,930.00,948.65,930.70,17.95,1.93
Larsen,"1,882.95","1,816.05","1,847.70","1,815.50",32.2,1.77
SBI,536.90,516.15,530.60,521.75,8.85,1.7
Bajaj Auto,"3,553.95","3,461.25","3,527.75","3,476.70",51.05,1.47
Eicher Motors,"3,693.80","3,583.85","3,671.60","3,624.10",47.5,1.31
TATA Cons. Prod,806.00,787.00,802.85,792.60,10.25,1.29
UltraTechCement,"6,325.00","6,172.00","6,255.10","6,175.90",79.2,1.28
Grasim,"1,697.00","1,653.95","1,674.85","1,655.80",19.05,1.15
Infosys,"1,419.30","1,376.00","1,413.45","1,398.65",14.8,1.06
HCL Tech,935.55,910.05,932.35,923.05,9.3,1.01
Nestle,"19,195.00","18,894.00","19,144.80","18,979.15",165.65,0.87
SBI Life Insura,"1,258.00","1,234.55","1,250.45","1,239.80",10.65,0.86
M&M,"1,282.70","1,233.05","1,268.20","1,258.35",9.85,0.78
Tata Motors,408.25,392.50,404.60,402.25,2.35,0.58
Tata Motors,408.25,392.50,404.60,402.25,2.35,0.58
Adani Ports,830.45,801.00,820.65,816.40,4.25,0.52
BPCL,308.90,300.85,304.80,303.25,1.55,0.51
Hero Motocorp,"2,592.15","2,510.00","2,549.20","2,536.30",12.9,0.51
HDFC Life,532.40,521.50,530.45,528.00,2.45,0.46
Wipro,396.70,387.50,394.25,392.80,1.45,0.37
Divis Labs,"3,739.90","3,658.00","3,705.20","3,693.65",11.55,0.31
TCS,"3,019.70","2,950.10","3,004.55","2,997.30",7.25,0.24
Tech Mahindra,"1,018.80",984.55,"1,008.60","1,007.10",1.5,0.15
ONGC,132.40,125.50,126.80,126.65,0.15,0.12
NTPC,161.55,157.40,159.65,159.55,0.1,0.06
